Time,x,y,z,
0,0,0,0,
0.511,2.319e-06,-3.163e-05,-4.698e-06,
0.513,5.332e-06,-4.269e-05,-6.495e-06,
0.525,2.885e-05,-7.849e-05,-1.09e-05,
0.526,3.756e-05,-9.92e-05,-1.356e-05,
0.54,4.306e-05,-0.0001462,-1.808e-05,
0.544,4.475e-05,-0.0001739,-2.018e-05,
0.556,-0.0002938,-0.000393,-1.056e-05,
0.558,-0.0003155,-0.0004425,-1.077e-05,
0.571,-0.000351,-0.0005371,-1.057e-05,
0.572,-0.0003688,-0.0005878,-1.019e-05,
0.586,-0.0001873,-0.0003605,1.786e-05,
0.588,-0.0001916,-0.0004028,1.877e-05,
0.599,-0.000211,-0.0004993,1.982e-05,
0.601,-0.0002202,-0.0005516,1.993e-05,
0.616,-3.306e-05,-0.0003802,-3.445e-05,
0.618,-1.554e-05,-0.000452,-4.326e-05,
0.632,1.553e-05,-0.0005396,-5.463e-05,
0.635,3.36e-05,-0.0005863,-6.044e-05,
0.645,-0.0001386,-0.0002497,-6.71e-05,
0.648,-0.0001299,-0.0002804,-7.472e-05,
0.661,-0.0001059,-0.0003453,-9.331e-05,
0.665,-9.135e-05,-0.0003813,-0.0001041,
0.678,3.354e-05,-0.0001851,1.157e-05,
0.682,6.13e-05,-0.0002112,1.123e-05,
0.693,0.0001258,-0.0002681,1.164e-05,
0.695,0.0001604,-0.0003,1.209e-05,
0.708,0.0002315,-0.0003778,1.374e-05,
0.711,4.248e-05,-0.0001482,3.626e-05,
0.723,8.294e-05,-0.0001977,4.376e-05,
0.727,0.0001208,-0.0002521,4.698e-05,
0.739,0.0001403,-0.0002834,4.931e-05,
0.743,0.0001635,-0.0003203,5.316e-05,
0.755,-0.0001352,-0.0003098,-0.0001242,
0.759,-0.0001305,-0.0003452,-0.0001375,
0.772,-9.994e-05,-0.0004813,-0.0001737,
0.776,1.88e-05,-0.0002136,3.109e-05,
0.785,3.56e-05,-0.0002705,4.31e-05,
0.788,5.399e-05,-0.0003382,5.646e-05,
0.801,6.649e-05,-0.0003761,6.362e-05,
0.805,7.821e-05,-0.0004166,7.112e-05,
0.816,0.0001326,-0.00029,5.891e-05,
0.819,0.0001526,-0.0003219,6.532e-05,
0.83,0.0001957,-0.0003829,7.921e-05,
0.834,0.0002183,-0.0004175,8.665e-05,
0.846,0.0001707,-0.0003804,2.213e-05,
0.85,0.000183,-0.0004187,2.162e-05,
0.863,0.0002113,-0.0005154,2.371e-05,
0.868,0.0002483,-0.0006201,2.5e-05,
0.879,0.0001883,-0.0002875,-3.676e-05,
0.883,0.0002052,-0.0003247,-3.892e-05,
0.894,0.0002454,-0.000412,-4.579e-05,
0.898,0.0002706,-0.0004537,-4.886e-05,
0.908,0.0003187,-0.0005494,-5.44e-05,
0.912,0.0001223,-0.0002717,-3.465e-05,
0.925,0.0001423,-0.0003978,-3.939e-05,
0.928,0.0001505,-0.0004455,-4.13e-05,
0.94,0.0001283,-0.0002222,-4.2e-05,
0.944,0.0001227,-0.0002838,-4.013e-05,
0.957,0.0001168,-0.0003184,-3.818e-05,
0.964,0.0001216,-0.0003541,-4.057e-05,
0.977,0.0001295,-0.0004292,-4.102e-05,
0.98,0.0001367,-0.0002744,-2.183e-05,
0.988,0.0001363,-0.000351,-2.199e-05,
0.991,0.0001393,-0.0004258,-1.82e-05,
1.004,0.0001407,-0.0004707,-1.674e-05,
1.008,-5.874e-05,-0.0003545,-2.005e-05,
1.019,-6.741e-05,-0.0003923,-1.833e-05,
1.024,-7.656e-05,-0.0004308,-1.905e-05,
1.03,-9.018e-05,-0.000516,-1.824e-05,
1.032,-9.823e-05,-0.0006123,-2.139e-05,
1.046,-0.000158,-0.0004026,-2.664e-05,
1.051,-0.0001816,-0.0005378,-2.883e-05,
1.064,-0.0001932,-0.0005909,-2.897e-05,
1.079,-0.000238,-0.0002617,-7.973e-05,
1.081,-0.00025,-0.0002906,-8.245e-05,
1.094,-0.0002695,-0.0003667,-8.719e-05,
1.098,-0.0002788,-0.00041,-8.917e-05,
1.11,6.046e-05,-0.0001933,4.05e-05,
1.114,7.257e-05,-0.0002236,4.95e-05,
1.126,0.0001052,-0.0002908,6.862e-05,
1.129,0.0001207,-0.0003281,7.706e-05,
1.143,8.942e-06,-0.0003026,-3.338e-05,
1.148,1.51e-05,-0.0003467,-3.486e-05,
1.156,4.454e-05,-0.0004404,-3.818e-05,
1.159,7.27e-05,-0.0004895,-3.83e-05,
1.17,0.0001047,-0.0003368,-5.798e-05,
1.175,0.0001251,-0.0003785,-6.087e-05,
1.186,0.0001541,-0.0004752,-6.728e-05,
1.19,0.0001731,-0.0005222,-6.815e-05,
1.201,0.0002019,-0.0006247,-7.16e-05,
1.203,2.338e-05,-0.0002194,-2.607e-05,
1.216,1.781e-05,-0.0002748,-2.572e-05,
1.218,1.772e-05,-0.0003087,-2.568e-05,
1.233,1.641e-05,-0.0003843,-2.601e-05,
1.236,3.018e-05,-0.0001669,-1.244e-05,
1.245,3.292e-05,-0.0002115,-9.782e-06,
1.248,2.757e-05,-0.0002698,-5.885e-06,
1.261,2.257e-05,-0.0002999,-3.466e-06,
1.264,1.687e-05,-0.0003325,-2.401e-06,
1.277,3.713e-05,-0.0002574,5.243e-06,
1.28,4.234e-05,-0.00029,5.908e-06,
1.291,4.831e-05,-0.0003657,6.596e-06,
1.296,4.574e-05,-0.0004057,6.632e-06,
1.307,-0.000186,-0.0002731,-0.0001125,
1.311,-0.0001991,-0.0003074,-0.00012,
1.322,-0.0002125,-0.0004213,-0.0001407,
1.326,-0.0002252,-0.0004642,-0.0001489,
1.337,-0.0002304,-0.0002795,-8.141e-05,
1.34,-0.000228,-0.0003155,-8.477e-05,
1.352,-0.0002239,-0.0003897,-9.219e-05,
1.355,-0.0002238,-0.0004319,-9.451e-05,
1.366,7.853e-05,-0.0002583,-1.151e-05,
1.369,9.471e-05,-0.0002903,-7.423e-06,
1.383,0.0001317,-0.000355,1.65e-06,
1.386,0.0001501,-0.0003904,6.604e-06,
1.4,0.0001871,-0.0004683,1.738e-05,
1.404,8.402e-05,-0.0004739,-7.587e-05,
1.421,9.333e-05,-0.0005176,-7.884e-05,
1.426,0.0001012,-0.0005649,-8.209e-05,
1.433,0.000119,-0.0006748,-8.622e-05,
